postcode,defunct (y/n) [as of September 2022],if when (M/Y),eastings,northings,latitude,longitude,town,region,country,country_string,
AB16,Y,June 2012,390600,807800,57.16115,-2.15543,Aberdeen,Aberdeen City,SCT,Scotland,
AL6,N,,524200,216300,51.83104,-0.19737,Welwyn,Hertfordshire,ENG,England,
B16,N,,404500,286500,52.47604,-1.93374,,Birmingham,ENG,England,
B36,N,,415000,289600,52.50373,-1.77899,Castle Bromwich,Solihull,ENG,England,
B46,Y,June 2009,420800,290100,52.50803,-1.69351,Coleshill,Warwickshire,ENG,England,
B76,N,,414500,294200,52.5451,-1.78616,,Birmingham,ENG,England,
BA6,N,,350700,138200,51.14042,-2.70478,Glastonbury,Somerset,ENG,England,
BB6,Y,May 1994,372600,433000,53.79238,-2.41598,Accrington,Lancashire,ENG,England,
BD16,Y,September 2013,411000,439200,53.84871,-1.83278,Bingley,Bradford,ENG,England,
BL6,Y,February 2012,364300,410700,53.59142,-2.53941,Horwich,Bolton,ENG,England,
BN16,Y,October 2006,506100,102800,50.81446,-0.49377,Rustington,West Sussex,ENG,England,
BN26,N,,556600,104800,50.82098,0.22352,Long Man,East Sussex,ENG,England,
BN6,N,,529800,116100,50.92918,-0.15276,Clayton,West Sussex,ENG,England,
BR6,N,,545700,165100,51.36575,0.0932,Bromley,Greater London,ENG,England,
BS16,N,,364600,176400,51.48496,-2.50988,Kingswood,South Gloucestershire,ENG,England,
BS6,Y,March 2010,358400,174800,51.47015,-2.59898,Bristol,City of Bristol,ENG,England,
BT36,Y,May 2011,145100,538500,54.67682,-5.95448,,Newtownabbey,NIR,Northern Ireland,
BT6,N,,148200,527500,54.57974,-5.89706,,Belfast,NIR,Northern Ireland,
CF36,Y,August 2010,282100,177600,51.48456,-3.69818,Porthcawl,Bridgend,WLS,Wales,
CH6,Y,May 2014,323600,373200,53.25003,-3.14518,Flint,Flintshire,ENG,England,
CM16,Y,November 2015,546600,202300,51.69981,0.12161,Epping,Essex,ENG,England,
CM6,Y,December 2011,562900,222500,51.8768,0.36678,Great Dunmow,Essex,ENG,England,
CO16,N,,615400,218200,51.82039,1.1258,Little Clacton,Essex,ENG,England,
CR6,N,,535800,158400,51.30799,-0.05149,Whyteleafe,Surrey,ENG,England,
